participant	content	token	lemma	tagged_token	tagged_lemma	file
cgv	what abe	[what, abe]	[what, abe]	[(what, WP), (abe, NN)]	[(what, WP), (abe, NN)]	time50-cond1.txt
kid	i can eat yyy rope	[i, can, eat, xyy, rope]	[i, can, eat, xyy, rope]	[(i, NN), (can, MD), (eat, VB), (xyy, JJ), (rope, NN)]	[(i, NN), (can, MD), (eat, VB), (xyy, JJ), (rope, NN)]	time50-cond1.txt
cgv	how are you going to eat a rope that doesn't have anything nutritional in it at all	[how, are, you, going, to, eat, a, rope, that, does, not, have, anything, nutritional, in, it, at, all]	[how, be, you, go, to, eat, a, rope, that, do, not, have, anything, nutritional, in, it, at, all]	[(how, WRB), (are, VBP), (you, PRP), (going, VBG), (to, TO), (eat, VB), (a, DT), (rope, NN), (that, WDT), (does, VBZ), (not, RB), (have, VB), (anything, NN), (nutritional, JJ), (in, IN), (it, PRP), (at, IN), (all, DT)]	[(how, WRB), (be, VB), (you, PRP), (go, VBP), (to, TO), (eat, VB), (a, DT), (rope, NN), (that, WDT), (do, VBP), (not, RB), (have, VB), (anything, NN), (nutritional, JJ), (in, IN), (it, PRP), (at, IN), (all, DT)]	time50-cond1.txt
kid	i can eat a rope please get me a rope please	[i, can, eat, a, rope, please, get, me, a, rope, please]	[i, can, eat, a, rope, please, get, me, a, rope, please]	[(i, NN), (can, MD), (eat, VB), (a, DT), (rope, NN), (please, NN), (get, VB), (me, PRP), (a, DT), (rope, NN), (please, NN)]	[(i, NN), (can, MD), (eat, VB), (a, DT), (rope, NN), (please, NN), (get, VB), (me, PRP), (a, DT), (rope, NN), (please, NN)]	time50-cond1.txt
cgv	how am i going to get you a rope	[how, am, i, going, to, get, you, a, rope]	[how, be, i, go, to, get, you, a, rope]	[(how, WRB), (am, VBP), (i, RB), (going, VBG), (to, TO), (get, VB), (you, PRP), (a, DT), (rope, NN)]	[(how, WRB), (be, VB), (i, JJ), (go, VBP), (to, TO), (get, VB), (you, PRP), (a, DT), (rope, NN)]	time50-cond1.txt
kid	you get me a rope please i want ta paint a picture i want ta paint a picture	[you, get, me, a, rope, please, i, want, ta, paint, a, picture, i, want, ta, paint, a, picture]	[you, get, me, a, rope, please, i, want, ta, paint, a, picture, i, want, ta, paint, a, picture]	[(you, PRP), (get, VBP), (me, PRP), (a, DT), (rope, NN), (please, NN), (i, NN), (want, VBP), (ta, NN), (paint, NN), (a, DT), (picture, NN), (i, NN), (want, VBP), (ta, NN), (paint, NN), (a, DT), (picture, NN)]	[(you, PRP), (get, VBP), (me, PRP), (a, DT), (rope, NN), (please, NN), (i, NN), (want, VBP), (ta, NN), (paint, NN), (a, DT), (picture, NN), (i, NN), (want, VBP), (ta, NN), (paint, NN), (a, DT), (picture, NN)]	time50-cond1.txt
cgv	right now	[right, now]	[right, now]	[(right, RB), (now, RB)]	[(right, RB), (now, RB)]	time50-cond1.txt
kid	yeah when i go when you go when we start going at school	[yeah, when, i, go, when, you, go, when, we, start, going, at, school]	[yeah, when, i, go, when, you, go, when, we, start, go, at, school]	[(yeah, NN), (when, WRB), (i, NN), (go, VBP), (when, WRB), (you, PRP), (go, VBP), (when, WRB), (we, PRP), (start, VBP), (going, VBG), (at, IN), (school, NN)]	[(yeah, NN), (when, WRB), (i, NN), (go, VBP), (when, WRB), (you, PRP), (go, VBP), (when, WRB), (we, PRP), (start, VBP), (go, VB), (at, IN), (school, NN)]	time50-cond1.txt
cgv	you want to paint a picture until we go to school what was that	[you, want, to, paint, a, picture, until, we, go, to, school, what, was, that]	[you, want, to, paint, a, picture, until, we, go, to, school, what, be, that]	[(you, PRP), (want, VBP), (to, TO), (paint, VB), (a, DT), (picture, NN), (until, IN), (we, PRP), (go, VBP), (to, TO), (school, NN), (what, WP), (was, VBD), (that, IN)]	[(you, PRP), (want, VBP), (to, TO), (paint, VB), (a, DT), (picture, NN), (until, IN), (we, PRP), (go, VBP), (to, TO), (school, NN), (what, WP), (be, VB), (that, DT)]	time50-cond1.txt
kid	a fart	[a, fart]	[a, fart]	[(a, DT), (fart, NN)]	[(a, DT), (fart, NN)]	time50-cond1.txt
cgv	who farted must have been mommy no it wasn't me did you fart abe	[who, parted, must, have, been, mommy, no, it, was, not, me, did, you, fart, abe]	[who, part, must, have, be, mommy, no, it, be, not, me, do, you, fart, abe]	[(who, WP), (parted, VBD), (must, MD), (have, VB), (been, VBN), (mommy, JJ), (no, DT), (it, PRP), (was, VBD), (not, RB), (me, PRP), (did, VBD), (you, PRP), (fart, VB), (abe, VB)]	[(who, WP), (part, NN), (must, MD), (have, VB), (be, VB), (mommy, VBN), (no, DT), (it, PRP), (be, VB), (not, RB), (me, PRP), (do, VBP), (you, PRP), (fart, VB), (abe, VB)]	time50-cond1.txt
kid	i didn't farted daddy farted	[i, did, not, parted, daddy, parted]	[i, do, not, part, daddy, part]	[(i, NN), (did, VBD), (not, RB), (parted, VBN), (daddy, NN), (parted, VBD)]	[(i, NNS), (do, VBP), (not, RB), (part, NN), (daddy, VBZ), (part, NN)]	time50-cond1.txt
cgv	i think you're right abe do you want to use your watercolors do you want to paint with watercolors	[i, think, you, are, right, abe, do, you, want, to, use, your, watercolors, do, you, want, to, paint, with, watercolors]	[i, think, you, be, right, abe, do, you, want, to, use, your, watercolor, do, you, want, to, paint, with, watercolor]	[(i, NN), (think, VBP), (you, PRP), (are, VBP), (right, JJ), (abe, NNS), (do, VBP), (you, PRP), (want, VB), (to, TO), (use, VB), (your, PRP$), (watercolors, NNS), (do, VBP), (you, PRP), (want, VB), (to, TO), (paint, VB), (with, IN), (watercolors, NNS)]	[(i, NN), (think, VBP), (you, PRP), (be, VB), (right, JJ), (abe, NN), (do, VBP), (you, PRP), (want, VB), (to, TO), (use, VB), (your, PRP$), (watercolor, NN), (do, VBP), (you, PRP), (want, VB), (to, TO), (paint, VB), (with, IN), (watercolor, NN)]	time50-cond1.txt
kid	no with with those little things	[no, with, with, those, little, things]	[no, with, with, those, little, thing]	[(no, DT), (with, IN), (with, IN), (those, DT), (little, JJ), (things, NNS)]	[(no, DT), (with, IN), (with, IN), (those, DT), (little, JJ), (thing, NN)]	time50-cond1.txt
cgv	oil pastels	[oil, pastels]	[oil, pastel]	[(oil, NN), (pastels, NNS)]	[(oil, NN), (pastel, NN)]	time50-cond1.txt
kid	no those paints	[no, those, paints]	[no, those, paint]	[(no, DT), (those, DT), (paints, NNS)]	[(no, DT), (those, DT), (paint, NNS)]	time50-cond1.txt
cgv	tempra paints	[tempera, paints]	[tempera, paint]	[(tempera, NN), (paints, NNS)]	[(tempera, NN), (paint, NN)]	time50-cond1.txt
kid	no fingerpaints with a brush	[no, fingerprints, with, a, brush]	[no, fingerprint, with, a, brush]	[(no, DT), (fingerprints, NNS), (with, IN), (a, DT), (brush, NN)]	[(no, DT), (fingerprint, NN), (with, IN), (a, DT), (brush, NN)]	time50-cond1.txt
cgv	do you want ta fingerpaint with a brush that's hard to do abe	[do, you, want, ta, fingerprint, with, a, brush, that, is, hard, to, do, abe]	[do, you, want, ta, fingerprint, with, a, brush, that, be, hard, to, do, abe]	[(do, VBP), (you, PRP), (want, VB), (ta, JJ), (fingerprint, NN), (with, IN), (a, DT), (brush, NN), (that, WDT), (is, VBZ), (hard, JJ), (to, TO), (do, VB), (abe, VB)]	[(do, VBP), (you, PRP), (want, VB), (ta, JJ), (fingerprint, NN), (with, IN), (a, DT), (brush, NN), (that, WDT), (be, VB), (hard, RB), (to, TO), (do, VB), (abe, VB)]	time50-cond1.txt
kid	i want little i want the little paints	[i, want, little, i, want, the, little, paints]	[i, want, little, i, want, the, little, paint]	[(i, NN), (want, VBP), (little, JJ), (i, NN), (want, VBP), (the, DT), (little, JJ), (paints, NNS)]	[(i, NN), (want, VBP), (little, JJ), (i, NN), (want, VBP), (the, DT), (little, JJ), (paint, NN)]	time50-cond1.txt
cgv	okay just a second	[okay, just, a, second]	[okay, just, a, second]	[(okay, NN), (just, RB), (a, DT), (second, JJ)]	[(okay, NN), (just, RB), (a, DT), (second, JJ)]	time50-cond1.txt
kid	i want don't get me don't get me don't those the little ones i want that brush will you get me a brush	[i, want, do, not, get, me, do, not, get, me, do, not, those, the, little, ones, i, want, that, brush, will, you, get, me, a, brush]	[i, want, do, not, get, me, do, not, get, me, do, not, those, the, little, one, i, want, that, brush, will, you, get, me, a, brush]	[(i, NN), (want, VBP), (do, VBP), (not, RB), (get, VB), (me, PRP), (do, VB), (not, RB), (get, VB), (me, PRP), (do, VB), (not, RB), (those, DT), (the, DT), (little, JJ), (ones, NNS), (i, VBP), (want, VBP), (that, DT), (brush, NN), (will, MD), (you, PRP), (get, VB), (me, PRP), (a, DT), (brush, NN)]	[(i, NN), (want, VBP), (do, VBP), (not, RB), (get, VB), (me, PRP), (do, VB), (not, RB), (get, VB), (me, PRP), (do, VB), (not, RB), (those, DT), (the, DT), (little, JJ), (one, CD), (i, NN), (want, VBP), (that, IN), (brush, NN), (will, MD), (you, PRP), (get, VB), (me, PRP), (a, DT), (brush, NN)]	time50-cond1.txt
cgv	well give me time abe i can't do everything at once i'll get the brush here you go	[well, give, me, time, abe, i, can, not, do, everything, at, once, i, will, get, the, brush, here, you, go]	[well, give, me, time, abe, i, can, not, do, everything, at, once, i, will, get, the, brush, here, you, go]	[(well, RB), (give, VB), (me, PRP), (time, NN), (abe, IN), (i, NNS), (can, MD), (not, RB), (do, VB), (everything, NN), (at, IN), (once, RB), (i, NN), (will, MD), (get, VB), (the, DT), (brush, NN), (here, RB), (you, PRP), (go, VBP)]	[(well, RB), (give, VB), (me, PRP), (time, NN), (abe, IN), (i, NNS), (can, MD), (not, RB), (do, VB), (everything, NN), (at, IN), (once, RB), (i, NN), (will, MD), (get, VB), (the, DT), (brush, NN), (here, RB), (you, PRP), (go, VBP)]	time50-cond1.txt
kid	i don't want that dirty water	[i, do, not, want, that, dirty, water]	[i, do, not, want, that, dirty, water]	[(i, NNS), (do, VBP), (not, RB), (want, VB), (that, IN), (dirty, JJ), (water, NN)]	[(i, NNS), (do, VBP), (not, RB), (want, VB), (that, IN), (dirty, JJ), (water, NN)]	time50-cond1.txt
cgv	it's clean now i wiped off the table i just wiped off the table so it's clean now	[it, is, clean, now, i, wiped, off, the, table, i, just, wiped, off, the, table, so, it, is, clean, now]	[it, be, clean, now, i, wipe, off, the, table, i, just, wipe, off, the, table, so, it, be, clean, now]	[(it, PRP), (is, VBZ), (clean, JJ), (now, RB), (i, VBP), (wiped, VBD), (off, RP), (the, DT), (table, NN), (i, NN), (just, RB), (wiped, VBD), (off, RP), (the, DT), (table, NN), (so, IN), (it, PRP), (is, VBZ), (clean, JJ), (now, RB)]	[(it, PRP), (be, VB), (clean, JJ), (now, RB), (i, VBP), (wipe, VBP), (off, RP), (the, DT), (table, NN), (i, NN), (just, RB), (wipe, VBD), (off, RP), (the, DT), (table, NN), (so, IN), (it, PRP), (be, VB), (clean, JJ), (now, RB)]	time50-cond1.txt
kid	can i drink all this can i put this in here	[can, i, drink, all, this, can, i, put, this, in, here]	[can, i, drink, all, this, can, i, put, this, in, here]	[(can, MD), (i, VB), (drink, VB), (all, DT), (this, DT), (can, MD), (i, VB), (put, VB), (this, DT), (in, IN), (here, RB)]	[(can, MD), (i, VB), (drink, VB), (all, DT), (this, DT), (can, MD), (i, VB), (put, VB), (this, DT), (in, IN), (here, RB)]	time50-cond1.txt
